run,cluster,start,workload,slack,tariff,jobs,constructed_total_bill_saving_pct,constructed_all_gpu_energy_saving_pct,mode_share_pct,optimal_mode_share_lower_pct,optimal_mode_share_upper_pct,interaction,mode_first
Earth_ft_llama_8b_dolly_0_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,0,Jiangsu,774,1.1510603400429578,0.995091832773719,39.963853566796985,39.963853566796416,39.963853566796985,1080.5578269409234,0.0
Earth_ft_llama_8b_dolly_0_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,0,Gansu,774,1.0587274095427912,0.995091832773719,44.762585517102934,44.762585517102664,44.762585517102934,1062.0657694133552,0.0
Earth_ft_llama_8b_dolly_0_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,0,Guizhou,774,1.13657067323817,0.995091832773719,40.988094264160786,40.98809426416011,40.988094264160786,1044.2590334018023,0.0
Earth_ft_llama_8b_dolly_6_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,6,Jiangsu,774,7.359632739935835,6.456027527619888,76.07094888884112,76.07094888883957,76.07094888884201,-1367.9111800693245,7259.436853788728
Earth_ft_llama_8b_dolly_6_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,6,Gansu,774,7.327950569178129,6.53738152473282,83.70082396875662,83.70082396875526,83.70082396875739,-881.7512148552087,7313.685956314021
Earth_ft_llama_8b_dolly_6_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,6,Guizhou,774,7.579352278800975,6.515992726069959,75.15183535096445,75.15183535096284,75.15183535096506,-1481.5010825120517,7124.792862360879
Earth_ft_llama_8b_dolly_24_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,24,Jiangsu,774,10.242468410764147,8.547876323772735,74.66192639957933,74.60436206963699,74.66192639957933,-2012.661765238492,9987.98637229289
Earth_ft_llama_8b_dolly_24_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,24,Gansu,774,10.281419555948181,8.657180507158099,78.1878875344409,77.8347230306119,78.1878875344409,-1796.6658737830367,9906.048354958126
Earth_ft_llama_8b_dolly_24_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,24,Guizhou,774,10.57474232981242,8.614233616847601,73.13129961602715,73.1307579380712,73.13129961602715,-2250.9277438873687,9793.029891083792
Earth_infer_llama_8b_32g_0_Jiangsu,Earth,2020-04-06,infer_llama_8b_32g,0,Jiangsu,774,1.1823890189032848,1.0453122928585818,40.22977214653199,40.22977214653161,40.22977214653199,1117.3533218998273,0.0
Earth_infer_llama_8b_32g_0_Gansu,Earth,2020-04-06,infer_llama_8b_32g,0,Gansu,774,1.1087448154056325,1.0453122928585818,44.998854388193124,44.99885438819292,44.998854388193124,1118.1115934547925,0.0
Earth_infer_llama_8b_32g_0_Guizhou,Earth,2020-04-06,infer_llama_8b_32g,0,Guizhou,774,1.167305435176659,1.0453122928585687,41.22537472997238,41.225374729972,41.22537472997238,1078.7062334041984,0.0
Earth_infer_llama_8b_32g_6_Jiangsu,Earth,2020-04-06,infer_llama_8b_32g,6,Jiangsu,774,7.511439913802948,6.649696414240895,75.35293074560245,75.35293074560212,75.35293074560245,-1155.8917942179723,7225.714807753582
Earth_infer_llama_8b_32g_6_Gansu,Earth,2020-04-06,infer_llama_8b_32g,6,Gansu,774,7.498082684429293,6.73204053361897,82.7960646084801,82.79606460847975,82.79606460848026,-667.5743849913342,7290.146654140248
Earth_infer_llama_8b_32g_6_Guizhou,Earth,2020-04-06,infer_llama_8b_32g,6,Guizhou,774,7.725015212684997,6.664948042797396,74.6217462623507,74.62174626235051,74.6217462623508,-1308.5766408049385,7115.125914773314
Earth_infer_llama_8b_32g_24_Jiangsu,Earth,2020-04-06,infer_llama_8b_32g,24,Jiangsu,774,10.844873357374718,9.393908583289305,76.23398366432458,76.14341984079614,76.23398366432458,-2054.590926910252,10737.439406102698
Earth_infer_llama_8b_32g_24_Gansu,Earth,2020-04-06,infer_llama_8b_32g,24,Gansu,774,10.924521805803993,9.454517521503329,80.05222144483506,79.73370849552997,80.05222144483506,-1938.7382652199121,10768.73379927723
Earth_infer_llama_8b_32g_24_Guizhou,Earth,2020-04-06,infer_llama_8b_32g,24,Guizhou,774,11.176257432984501,9.420707504669728,74.73840763585558,74.73759823925177,74.73840763585558,-2291.2654948265827,10507.53948382544
Earth_pt_mpt_13b_lg_0_Jiangsu,Earth,2020-04-06,pt_mpt_13b_lg,0,Jiangsu,774,0.7107499096532212,0.518076980945745,33.746448688597134,33.74644868859621,33.746448688597134,563.4137656164967,0.0
Earth_pt_mpt_13b_lg_0_Gansu,Earth,2020-04-06,pt_mpt_13b_lg,0,Gansu,774,0.6221638484765233,0.5430720341689417,41.087565949456256,41.087565949455836,41.087565949456256,572.8847712320676,0.0
Earth_pt_mpt_13b_lg_0_Guizhou,Earth,2020-04-06,pt_mpt_13b_lg,0,Guizhou,774,0.7050438549351332,0.5238850944939334,35.47229693919669,35.47229693919576,35.47229693919669,560.6082849030099,0.0
Earth_pt_mpt_13b_lg_6_Jiangsu,Earth,2020-04-06,pt_mpt_13b_lg,6,Jiangsu,774,4.369073345811557,2.9383304205629055,57.76679564197625,57.76679564197395,57.76679564197634,-1170.3384177752014,3549.4557450912907
Earth_pt_mpt_13b_lg_6_Gansu,Earth,2020-04-06,pt_mpt_13b_lg,6,Gansu,774,4.187888400045747,3.225971707223034,70.09578332524961,70.09578332524748,70.09578332524987,-751.8605591766463,3665.2727228559743
Earth_pt_mpt_13b_lg_6_Guizhou,Earth,2020-04-06,pt_mpt_13b_lg,6,Guizhou,774,4.533629974394233,2.925154064305494,56.855089447835454,56.85508944783345,56.85508944783558,-1318.5367943144593,3548.214843182286
Earth_pt_mpt_13b_lg_24_Jiangsu,Earth,2020-04-06,pt_mpt_13b_lg,24,Jiangsu,774,7.597221639485786,5.3048377130296815,64.68790829915004,64.49431225060637,64.68790829915004,-1807.1393072643841,6675.62482060627
Earth_pt_mpt_13b_lg_24_Gansu,Earth,2020-04-06,pt_mpt_13b_lg,24,Gansu,774,7.476842587540805,5.718900607049645,71.93471313719344,71.43055705267297,71.93471313719344,-2119.820033209682,7086.599962923734
Earth_pt_mpt_13b_lg_24_Guizhou,Earth,2020-04-06,pt_mpt_13b_lg,24,Guizhou,774,7.904821972112794,5.41321631181942,62.818620619458294,62.73889042936323,62.818620619458294,-2031.6429958424997,6581.3263067969165
Venus_ft_llama_8b_dolly_0_Jiangsu,Venus,2020-04-06,ft_llama_8b_dolly,0,Jiangsu,2332,0.7898602120700287,0.627810451610577,29.580243327355316,29.58024332735387,29.580243327355316,627.750305175723,0.0
Venus_ft_llama_8b_dolly_0_Gansu,Venus,2020-04-06,ft_llama_8b_dolly,0,Gansu,2332,0.7842744501963655,0.627810451610577,31.621582147739037,31.62158214773831,31.621582147739705,633.8623381063371,0.0
Venus_ft_llama_8b_dolly_0_Guizhou,Venus,2020-04-06,ft_llama_8b_dolly,0,Guizhou,2332,0.7793487860625802,0.6176084025394728,29.87364432077087,29.87364432076978,29.87364432077189,597.7865740500274,0.0
Venus_ft_llama_8b_dolly_6_Jiangsu,Venus,2020-04-06,ft_llama_8b_dolly,6,Jiangsu,2332,9.974721188257364,7.902907981336427,72.42730990005131,72.31772197002358,72.42730990005151,-2837.5781741258106,11124.06926261451
Venus_ft_llama_8b_dolly_6_Gansu,Venus,2020-04-06,ft_llama_8b_dolly,6,Gansu,2332,8.715090618687716,7.978946685038225,83.24695967249208,83.22790750711783,83.24695967249215,-1340.75666796722,9941.954675085362
Venus_ft_llama_8b_dolly_6_Guizhou,Venus,2020-04-06,ft_llama_8b_dolly,6,Guizhou,2332,10.070651089278227,7.917623918281552,72.2217926705428,72.14628210584284,72.22179267054335,-2760.6515398524425,10717.638521065415
Venus_ft_llama_8b_dolly_24_Jiangsu,Venus,2020-04-06,ft_llama_8b_dolly,24,Jiangsu,2332,14.730846585007356,10.964565845673313,68.74613223960765,68.29530126698693,68.74613223960779,-4497.431103126102,15853.163798093075
Venus_ft_llama_8b_dolly_24_Gansu,Venus,2020-04-06,ft_llama_8b_dolly,24,Gansu,2332,13.20253537110996,11.207896150408803,77.59546465750398,77.12319436101063,77.5954646575042,-2268.213363922281,14226.135961663327
Venus_ft_llama_8b_dolly_24_Guizhou,Venus,2020-04-06,ft_llama_8b_dolly,24,Guizhou,2332,15.168664003540028,11.09568536808176,67.38177959713708,67.21282599518209,67.38177959713734,-4394.623400494103,15318.884680351526
Venus_infer_llama_8b_32g_0_Jiangsu,Venus,2020-04-06,infer_llama_8b_32g,0,Jiangsu,2332,0.7394819266077419,0.5887824785495963,28.18911760310133,28.18911760309975,28.18911760310133,560.0721767616051,0.0
Venus_infer_llama_8b_32g_0_Gansu,Venus,2020-04-06,infer_llama_8b_32g,0,Gansu,2332,0.7294319653733085,0.5887824785495849,30.239797210992275,30.239797210991494,30.23979721099289,563.7764769677451,0.0
Venus_infer_llama_8b_32g_0_Guizhou,Venus,2020-04-06,infer_llama_8b_32g,0,Guizhou,2332,0.730814703007623,0.5887824785495963,28.537034350953217,28.53703435095122,28.53703435095399,535.4787017799754,0.0
Venus_infer_llama_8b_32g_6_Jiangsu,Venus,2020-04-06,infer_llama_8b_32g,6,Jiangsu,2332,10.158597155239436,8.336751984587359,74.32870924933457,74.22162320515275,74.3287092493347,-3220.3284787896046,11753.838321320633
Venus_infer_llama_8b_32g_6_Gansu,Venus,2020-04-06,infer_llama_8b_32g,6,Gansu,2332,9.065914831701535,8.396849093887623,84.40933279239557,84.391063001533,84.4093327923961,-1459.8768763690678,10509.410095807958
Venus_infer_llama_8b_32g_6_Guizhou,Venus,2020-04-06,infer_llama_8b_32g,6,Guizhou,2332,10.174173154962237,8.286962983239695,74.3013133710134,74.06918903550402,74.3013133710134,-3230.0522745622075,11319.940492179856
Venus_infer_llama_8b_32g_24_Jiangsu,Venus,2020-04-06,infer_llama_8b_32g,24,Jiangsu,2332,15.419568116441864,12.083244238456318,71.43061873841498,70.91945293486718,71.43061873841516,-5031.255087956932,17312.215464220957
Venus_infer_llama_8b_32g_24_Gansu,Venus,2020-04-06,infer_llama_8b_32g,24,Gansu,2332,14.033972701622718,12.289930196692115,80.13876967786275,79.60180574787795,80.13876967786283,-2704.369614294712,15724.826148631932
Venus_infer_llama_8b_32g_24_Guizhou,Venus,2020-04-06,infer_llama_8b_32g,24,Guizhou,2332,15.863131575366543,12.254468473352247,70.08846723086226,69.90365752752747,70.08846723086226,-4915.440159986589,16731.25628207853
Venus_pt_mpt_13b_lg_0_Jiangsu,Venus,2020-04-06,pt_mpt_13b_lg,0,Jiangsu,2332,0.47979547408622875,0.2503722129422764,16.38410696434611,16.384106964344415,16.384106964350664,211.20970715027943,0.0
Venus_pt_mpt_13b_lg_0_Gansu,Venus,2020-04-06,pt_mpt_13b_lg,0,Gansu,2332,0.4513335474827008,0.26705212952289,18.064143166504813,18.06414316650355,18.064143166508437,208.3810720726542,0.0
Venus_pt_mpt_13b_lg_0_Guizhou,Venus,2020-04-06,pt_mpt_13b_lg,0,Guizhou,2332,0.46877175438014757,0.22685943388660068,16.53925770930533,16.539257709303513,16.539257709311794,199.06895537845412,0.0
Venus_pt_mpt_13b_lg_6_Jiangsu,Venus,2020-04-06,pt_mpt_13b_lg,6,Jiangsu,2332,5.820492684316887,3.060347955340292,54.169759081587884,54.00205398816899,54.169759081587884,-3059.919117252619,5765.624603941869
Venus_pt_mpt_13b_lg_6_Gansu,Venus,2020-04-06,pt_mpt_13b_lg,6,Gansu,2332,4.5098749119302735,3.5114248452057355,68.70533764032895,68.67689555112347,68.70533764032895,-1465.2097143181745,4692.359389517587
Venus_pt_mpt_13b_lg_6_Guizhou,Venus,2020-04-06,pt_mpt_13b_lg,6,Guizhou,2332,5.85800575434547,3.0519188874189562,54.03704662118162,53.92888322652069,54.03704662118166,-3030.078989791662,5578.887822242621
Venus_pt_mpt_13b_lg_24_Jiangsu,Venus,2020-04-06,pt_mpt_13b_lg,24,Jiangsu,2332,11.210468959027361,6.543015101054327,60.26855700800523,59.62964562343506,60.26856792325765,-4900.123567664821,11526.585171903276
Venus_pt_mpt_13b_lg_24_Gansu,Venus,2020-04-06,pt_mpt_13b_lg,24,Gansu,2332,9.54487952153482,7.376731265349093,70.51064998287592,69.68540870891063,70.51064998287592,-2634.3296397012236,9917.957103055756
Venus_pt_mpt_13b_lg_24_Guizhou,Venus,2020-04-06,pt_mpt_13b_lg,24,Guizhou,2332,11.524365686775095,6.612381042474833,58.977640136788864,58.6334738126045,58.98222840654366,-4959.959736116623,11205.684619647458
Saturn_ft_llama_8b_dolly_0_Jiangsu,Saturn,2020-04-06,ft_llama_8b_dolly,0,Jiangsu,14089,2.542610941013461,2.0351343644831097,31.585455113439853,30.79955877820251,32.155115027036445,6120.586878489266,0.0
Saturn_ft_llama_8b_dolly_0_Gansu,Saturn,2020-04-06,ft_llama_8b_dolly,0,Gansu,14089,2.211838074847849,2.0907527627690747,40.160295219144146,40.03010804069554,40.35183314635458,6454.043375018693,0.0
Saturn_ft_llama_8b_dolly_0_Guizhou,Saturn,2020-04-06,ft_llama_8b_dolly,0,Guizhou,14089,2.485636966770513,2.0259899434765725,31.635782025504476,30.71566100031235,32.32533631110498,5717.167928310315,0.0
Saturn_ft_llama_8b_dolly_6_Jiangsu,Saturn,2020-04-06,ft_llama_8b_dolly,6,Jiangsu,14089,8.983815928891996,8.282077712715079,78.2432693703302,66.96678658180173,83.53645302174345,-7366.7040710872825,30469.104729691724
Saturn_ft_llama_8b_dolly_6_Gansu,Saturn,2020-04-06,ft_llama_8b_dolly,6,Gansu,14089,8.89002392459864,8.291959450285777,84.00920594507724,73.45933272706169,87.96759981357718,-5646.98939901081,29955.47338384029
Saturn_ft_llama_8b_dolly_6_Guizhou,Saturn,2020-04-06,ft_llama_8b_dolly,6,Guizhou,14089,9.00741634948193,8.304089213810853,78.6054203372597,67.1510326914085,83.72252722116693,-7055.481407140585,29266.488319194817
Saturn_ft_llama_8b_dolly_24_Jiangsu,Saturn,2020-04-06,ft_llama_8b_dolly,24,Jiangsu,14089,9.32301047099385,8.711163570974348,78.27916127850706,56.18721748154989,87.01718969831578,-7374.3780858740065,31497.02048216651
Saturn_ft_llama_8b_dolly_24_Gansu,Saturn,2020-04-06,ft_llama_8b_dolly,24,Gansu,14089,9.439468315667584,8.857583351071947,83.40574374244636,62.554603593951825,90.34645445926459,-4902.244457347231,31053.0397624787
Saturn_ft_llama_8b_dolly_24_Guizhou,Saturn,2020-04-06,ft_llama_8b_dolly,24,Guizhou,14089,9.446835937357704,8.751132636668494,78.90651998693134,55.89415758047982,87.49560744251124,-6532.589553643309,30364.089130077715
Saturn_infer_llama_8b_32g_0_Jiangsu,Saturn,2020-04-06,infer_llama_8b_32g,0,Jiangsu,14089,2.516410075196844,2.05027836006006,31.393722841978057,30.59964375281348,32.152755500975864,6020.745248233303,0.0
